standarization,learning_rate_init,hidden_layer_sizes,activation,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,R2_mean,R2_std,R2_min,R2_max
True,0.01,10,relu,0.6148096756475412,0.004232518469939255,0.6121567974553007,0.6196908145300327,0.4945944854052809,0.007835746712698268,0.48919574152894735,0.5035818697451431,0.42157690760454986,0.007979442817960189,0.41237450268592635,0.4265759988301865
True,0.01,10,tanh,0.6095713672915825,0.01201433854612229,0.5957090745674309,0.6169736410496898,0.4897790757002991,0.01251777881925225,0.475334197255387,0.49745306957227803,0.431262205160653,0.022286618689677462,0.41751635690892863,0.4569760983300518
True,0.01,100,identity,0.6396711976604471,0.01642133423001122,0.6290588357101993,0.6585859622603072,0.5194802153797168,0.010782941749945518,0.5111413568325218,0.5316571043865956,0.3735954946349687,0.032380373799770885,0.3362944440909059,0.3944736483869855
True,0.01,100,logistic,0.5939960384572109,0.0030116781137116376,0.591796737774119,0.5974286080943227,0.47006007221767726,0.004496664532948843,0.46487225424780776,0.4728407978386606,0.46008542166143584,0.005481951830957245,0.453836661677568,0.464085327138404
True,0.01,100,relu,0.6420699717686588,0.020997476439207068,0.618317263228056,0.658159477419333,0.5057706649322578,0.008118825989182257,0.49776971692052474,0.5140024459026189,0.3687160228584605,0.040940531685450324,0.3371537661021612,0.4149765720976508
True,0.01,100,tanh,0.6042458045165914,0.0044319387371342354,0.6013990985187462,0.6093521290998579,0.47447316325435884,0.0036633246325176914,0.4702502509447827,0.4767972366296006,0.4412810814798991,0.00821274678055902,0.43181838094972347,0.44655297192734444
True,0.01,1000-100,identity,0.6627920076416057,0.018840287809697206,0.6425445618345821,0.6798068225101805,0.5251767231296093,0.01196889856292301,0.5127862181154895,0.5366739631820002,0.3274277855078715,0.03808137879312253,0.2928337071478333,0.3682328811281822
True,0.01,1000-100,logistic,0.81021629290607,0.0021356911534459854,0.8087425609489142,0.8126655438564784,0.6837960503870408,0.003711468143738948,0.6809122689190208,0.6879834554837009,-0.004510476314232736,0.005299442536101661,-0.010588163361172409,-0.0008548821822995656
True,0.01,1000-100,relu,0.6849206423401103,0.10351654998193259,0.6087917422277197,0.802790913273734,0.5399749763628608,0.07688789874882714,0.47978847421432497,0.6265920073297819,0.2712229530134851,0.22533648284231458,0.013821771925293547,0.4328629497536213
True,0.01,1000-100,tanh,0.6634750811514639,0.010312909101382805,0.6516148011688135,0.6703306470897141,0.5056878729394098,0.009552427756421062,0.4947529023432242,0.5124078316252682,0.3262951187725192,0.02084991106254848,0.3124114038434823,0.3502707848582213
True,0.1,10,identity,0.638958035662998,0.009786878239915342,0.6285394555235218,0.6479584834175222,0.5126646615510091,0.006939046425860757,0.5056117174671295,0.5194839059981573,0.37516822411871636,0.01910699516810413,0.3575418028626832,0.39547313695452624
True,0.1,10,logistic,0.6190888819128665,0.013434914197135866,0.606461435036683,0.6332069380275088,0.49405679309391176,0.009212831650250865,0.4835118072254618,0.5005453130802643,0.4133313887124941,0.02550058385148798,0.3864614668495321,0.43719636647404336
True,0.1,10,relu,0.6141243532494968,0.00883168038223506,0.6040836197360636,0.6206894954779635,0.4942923265834487,0.015759173554998368,0.47614673033659505,0.5045502634207771,0.42280437903478146,0.01653942559256447,0.41047896622512403,0.44160099806538156
True,0.1,10,tanh,0.6413007813616242,0.01700157529188572,0.628517183192707,0.6605956140350262,0.5117305073804785,0.009763077487269917,0.5060860014748736,0.5230039346205402,0.3703814760842721,0.03358519351720868,0.33223771597141505,0.3955159790819669
True,0.1,100,identity,0.6572708993121533,0.024270506782842503,0.6337284953153518,0.6822092540033173,0.5190500153000531,0.013855210669864044,0.5031117678753722,0.5282216632236061,0.33834144884973577,0.04890088937446566,0.2878266360260777,0.38545033680531426
True,0.1,100,logistic,0.705062888849807,0.008204959784006339,0.7001112176958361,0.7145338712904659,0.5465728152724743,0.0028040061206109764,0.5433486019237028,0.5484414108074889,0.23924391646810036,0.017763838167841328,0.21873898160664051,0.24995972092381624
True,0.1,100,relu,0.6612307343512441,0.01336663858622638,0.6467365943988198,0.6730720352069887,0.5327261960418922,0.02020394813702824,0.5138607271389464,0.554044639669839,0.3307708123377036,0.026971446097123233,0.3067759713571002,0.3599625519278328
True,0.1,100,tanh,0.6777287985728663,0.05869856284723345,0.6303394407523835,0.7433902244901406,0.5268229470901686,0.04400201076515658,0.49626435541961145,0.5772562797876779,0.29363550153416257,0.1239892928477061,0.15436255400062526,0.3920057412369279
True,0.1,1000-100,identity,0.6378904454826104,0.0129861171473498,0.6295804554478166,0.6528550328966203,0.5106390911153603,0.013204741213869749,0.5016293623657517,0.5257968321635861,0.37717980526401274,0.025497915872287127,0.34779514542367673,0.39346901914397214
True,0.1,1000-100,logistic,0.8305106663827164,0.028877458555493875,0.808516657654499,0.8632126309557633,0.67096721272371,0.026494015736819608,0.6421592755303331,0.694288015728398,-0.05630867035235595,0.07401137790059742,-0.1402132598385637,-0.0002958295278134848
True,0.1,1000-100,relu,0.8110900241844691,8.460021784087721e-05,0.8110006197891358,0.8111688194522534,0.6859469716658618,0.00012358287564244062,0.6858161266497784,0.6860617136779222,-0.006673502104783013,0.00020999882162697647,-0.006869095681644843,-0.006451580904560883
True,0.1,1000-100,tanh,0.6829587082913743,0.01827469167868049,0.6695288084173671,0.7037694979685792,0.5438660219631796,0.018622092295868777,0.5237934322857021,0.560580690796056,0.28592034265570404,0.0384559827911129,0.24210089448221184,0.3140553847068873
